TimeStamp,Type,Value
4/10/17,Unknown,498
4/11/17,Unknown,488
4/12/17,Unknown,466
4/13/17,Unknown,461
4/14/17,Unknown,450
4/15/17,Unknown,479
4/16/17,Unknown,459
4/17/17,Unknown,464
4/18/17,Unknown,480
4/19/17,Unknown,39
4/2/17,Unknown,464
4/3/17,Unknown,481
4/4/17,Unknown,470
4/5/17,Unknown,492
4/6/17,Unknown,470
4/7/17,Unknown,473
4/8/17,Unknown,451
4/9/17,Unknown,445
4/10/17,Cultural,194
4/11/17,Cultural,195
4/12/17,Cultural,184
4/13/17,Cultural,197
4/14/17,Cultural,198
4/15/17,Cultural,221
4/16/17,Cultural,226
4/17/17,Cultural,177
4/18/17,Cultural,238
4/19/17,Cultural,19
4/2/17,Cultural,215
4/3/17,Cultural,212
4/4/17,Cultural,191
4/5/17,Cultural,228
4/6/17,Cultural,206
4/7/17,Cultural,197
4/8/17,Cultural,206
4/9/17,Cultural,199
4/10/17,Academic,226
4/11/17,Academic,233
4/12/17,Academic,234
4/13/17,Academic,236
4/14/17,Academic,228
4/15/17,Academic,227
4/16/17,Academic,236
4/17/17,Academic,221
4/18/17,Academic,238
4/19/17,Academic,20
4/2/17,Academic,222
4/3/17,Academic,209
4/4/17,Academic,228
4/5/17,Academic,217
4/6/17,Academic,238
4/7/17,Academic,221
4/8/17,Academic,217
4/9/17,Academic,201
4/10/17,Professional,148
4/11/17,Professional,135
4/12/17,Professional,151
4/13/17,Professional,144
4/14/17,Professional,144
4/15/17,Professional,161
4/16/17,Professional,141
4/17/17,Professional,156
4/18/17,Professional,158
4/19/17,Professional,13
4/2/17,Professional,131
4/3/17,Professional,146
4/4/17,Professional,132
4/5/17,Professional,144
4/6/17,Professional,135
4/7/17,Professional,154
4/8/17,Professional,133
4/9/17,Professional,133
4/10/17,Social,125
4/11/17,Social,121
4/12/17,Social,124
4/13/17,Social,131
4/14/17,Social,121
4/15/17,Social,129
4/16/17,Social,118
4/17/17,Social,134
4/18/17,Social,124
4/19/17,Social,9
4/2/17,Social,127
4/3/17,Social,130
4/4/17,Social,116
4/5/17,Social,129
4/6/17,Social,144
4/7/17,Social,113
4/8/17,Social,134
4/9/17,Social,127